City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,manay,7.215,126.5397,23.5,67,97,2.05,PH,1715116456
1,aliveri,38.4167,24.0333,20.23,69,99,2.11,GR,1715116456
2,alesund,62.4723,6.1549,10.5,94,75,3.09,NO,1715116457
3,okhotsk,59.3833,143.3,0.53,85,63,4.3,RU,1715116457
4,isafjordur,66.0755,-23.124,3.02,87,100,1.54,IS,1715116457
5,luckeesarai,25.1833,86.0833,27.17,59,4,3.2,IN,1715116457
6,center,31.5107,-96.4247,32.67,64,95,0.89,US,1715116457
7,upington,-28.4478,21.2561,22.21,23,32,2.57,ZA,1715116457
8,tiksi,71.6872,128.8694,-1.29,98,100,4.18,RU,1715116457
9,uturoa,-16.7333,-151.4333,27.9,75,75,8.9,PF,1715116457
10,obonoma,4.7084,6.7931,25.58,89,100,1.81,NG,1715116457
11,lihue,21.9789,-159.3672,27.58,68,40,6.69,US,1715116458
12,iqaluit,63.7506,-68.5145,0.85,55,20,5.14,CA,1715116458
13,omis,43.4447,16.6886,18.96,81,81,2.98,HR,1715116405
14,mount gambier,-37.8333,140.7667,7.46,97,7,2.06,AU,1715116458
15,clinton,42.587,-82.9199,19.39,76,100,1.54,US,1715116269
16,salanso,12.1833,-4.0833,31.08,40,82,2.16,BF,1715116278
17,st. john's,47.5649,-52.7093,8.77,93,100,0.89,CA,1715116206
18,namibe,-15.1961,12.1522,23.56,65,3,3.61,AO,1715116458
19,ust'-kut,56.7938,105.7672,-1.42,68,8,1.34,RU,1715116459
20,cidreira,-30.1811,-50.2056,22.72,87,9,3.6,BR,1715116459
21,mokrous,51.2333,47.5167,15.35,43,7,7.55,RU,1715116459
22,sodra sandby,56.5667,16.6167,5.92,86,9,2.38,SE,1715116459
23,grytviken,-54.2811,-36.5092,-2.51,77,35,4.3,GS,1715116459
24,katabu,-4.9333,122.5167,23.65,97,100,0.9,ID,1715116459
25,rabaul,-4.1967,152.1721,27.22,82,100,0.73,PG,1715116459
26,ancud,-41.8697,-73.8203,8.61,69,23,4.04,CL,1715116459
27,puerto aysen,-45.4,-72.7,4.41,92,57,1.53,CL,1715116459
28,acarau,-2.8856,-40.12,26.62,89,45,4.02,BR,1715116251
29,stanley,54.868,-1.6985,8.77,91,0,1.03,GB,1715116460
30,kamina,-8.7386,24.9906,19.52,85,100,1.64,CD,1715116460
31,iskateley,67.6803,53.1512,-8.32,95,100,4.47,RU,1715116460
32,hermosillo,29.0667,-110.9667,33.95,15,0,5.66,MX,1715116196
33,ust-nera,64.5667,143.2,0.77,85,100,1.87,RU,1715116460
34,yellowknife,62.456,-114.3525,12.45,78,100,7.2,CA,1715116460
35,kourou,5.1552,-52.6478,28.03,82,100,3.57,GF,1715116460
36,ola,59.5833,151.2833,0.08,98,98,3.18,RU,1715116460
37,kerikeri,-35.2268,173.9474,12.73,90,43,4.02,NZ,1715116461
38,qaqortoq,60.7167,-46.0333,0.95,58,84,0.86,GL,1715116461
39,sidney,-33.8679,151.2073,15.35,92,75,3.09,AU,1715116191
40,ribeira grande,38.5167,-28.7,19.22,88,75,7.6,PT,1715116461
41,phongsali,21.6833,102.1058,17.27,99,100,0.1,LA,1715116461
42,keflavik,64.0049,-22.5624,4.24,87,75,8.75,IS,1715116461
43,port mathurin,-19.6833,63.4167,25.52,63,36,11.21,MU,1715116461
44,port-aux-francais,-49.35,70.2167,4.55,74,12,15.12,TF,1715116461
45,puerto natales,-51.7236,-72.4875,1.25,75,0,1.54,CL,1715116299
46,hamilton,39.1834,-84.5333,25.71,81,100,5.66,US,1715116462
47,howard springs,-12.497,131.047,23.95,65,26,2.5,AU,1715116462
48,invercargill,-46.4,168.35,7.79,93,100,3.58,NZ,1715116462
49,punta arenas,-53.15,-70.9167,3.06,87,100,4.63,CL,1715116462
50,longyearbyen,78.2186,15.6401,0.91,80,75,4.12,SJ,1715116462
51,waitangi,-43.9535,-176.5597,8.79,83,20,3.4,NZ,1715116462
52,sao felix do xingu,-6.6447,-51.995,27.19,79,30,1.61,BR,1715116386
53,rio tuba,8.5061,117.4317,26.17,83,100,0.9,PH,1715116462
54,east london,-33.0153,27.9116,21.79,71,0,7.77,ZA,1715116462
55,ushuaia,-54.8,-68.3,-0.73,90,49,2.43,AR,1715116268
56,talnakh,69.4865,88.3972,-14.89,96,97,2.47,RU,1715116463
